Região Geográfica,Unidade da Federação,Faixa de Proeficiência,Total_Desempenho,Idade,Quantidade,area
Nordeste,Maranhão,901-1.000,10920.0,17,2735.0,Redação
Nordeste,Maranhão,>1.001,0.0,17,0.0,Redação
Nordeste,Piauí,0 -100,9.0,17,1.0,Redação
Nordeste,Piauí,101-200,95.0,17,8.0,Redação
Nordeste,Piauí,201-300,1498.0,17,219.0,Redação
Nordeste,Piauí,301-400,5397.0,17,927.0,Redação
Nordeste,Piauí,401-500,8653.0,17,1490.0,Redação
Nordeste,Piauí,501-600,13874.0,17,2529.0,Redação
Nordeste,Piauí,601-700,12351.0,17,2574.0,Redação
Nordeste,Piauí,701-800,8456.0,17,1976.0,Redação
Nordeste,Piauí,801-900,9610.0,17,2523.0,Redação
Nordeste,Piauí,901-1.000,9371.0,17,2316.0,Redação
Nordeste,Piauí,>1.001,6.0,17,1.0,Redação
Nordeste,Ceará,0 -100,86.0,17,16.0,Redação
Nordeste,Ceará,101-200,254.0,17,49.0,Redação
Nordeste,Ceará,201-300,3207.0,17,623.0,Redação
Nordeste,Ceará,301-400,11198.0,17,2544.0,Redação
Nordeste,Ceará,401-500,18132.0,17,4146.0,Redação
Nordeste,Ceará,501-600,31787.0,17,7167.0,Redação
Nordeste,Ceará,601-700,33441.0,17,8418.0,Redação
Nordeste,Ceará,701-800,23384.0,17,6566.0,Redação
Nordeste,Ceará,801-900,25930.0,17,7502.0,Redação
Nordeste,Ceará,901-1.000,21619.0,17,6013.0,Redação
Nordeste,Ceará,>1.001,4.0,17,0.0,Redação
Nordeste,Rio Grande do Norte,0 -100,9.0,17,0.0,Redação
Nordeste,Rio Grande do Norte,101-200,68.0,17,4.0,Redação
Nordeste,Rio Grande do Norte,201-300,1124.0,17,83.0,Redação
Nordeste,Rio Grande do Norte,301-400,4812.0,17,509.0,Redação
Nordeste,Rio Grande do Norte,401-500,7952.0,17,864.0,Redação
Nordeste,Rio Grande do Norte,501-600,15719.0,17,1794.0,Redação
Nordeste,Rio Grande do Norte,601-700,15260.0,17,2192.0,Redação
